Word,Count
*,577
the,447
is,179
,160
to,152
a,129
be,125
of,124
that,122
for,109
will,108
or,94
This,91
it,91
in,90
The,85
and,74
this,70
A,66
distributed,65
but,64
Copyright,55
WITHOUT,54
without,53
FOR,51
warranty,51
even,51
MERCHANTABILITY,51
Klaus,51
\useful,\,51
Wuestefeld,51
ANY,51
hope,51
FITNESS,51
implied,51
(C),51
PURPOSE,51
WARRANTY;,51
PARTICULAR,51
by,49
-,44
on,43
Prevalence,40
Prevayler(TM),39
Layer,39
Free-Software,39
file,39
library,38
not,35
Prevayler,34
as,30
with,30
Contributions:,28
system,27
2001-2003,26
if,26
used,26
all,26
Transaction,25
It,25
time,25
object,24
given,24
@param,23
transaction,22
thread,22
implementation,22
new,21
must,21
are,21
XML,21
have,21
If,20
executed,20
an,20
from,19
See,19
method,18
journal,18
its,18
can,18
more,17
objects,17
which,17
files,17
free,16
prevalentSystem(),16
access,16
id,16
class,15
along,15
All,15
should,15
one,15
snapshot,15
@see,14
details,14
at,14
2004,14
created,14
first,14
read,14
license,14
transactions,14
software,14
no,14
execute,14
prevalent,13
write,13
use,13
using,12
session,12
execution,12
Prevalent,12
serialization,12
directory,12
stream,12
$,12
threads,12
other,12
when,12
need,11
@throws,11
so,11
Exception,11
any,10
System,10
does,10
called,10
has,10
another,9
here,9
current,9
Skaringa,9
_syncLock,9
Nodari,9
already,9
may,9
@return,9
Returns,9
Alexandre,9
lock,9
TransactionWithQuery,9
2001-2004,9
An,9
sensitiveQuery,8
guarded,8
prevalentSystem,8
then,8
future,8
they,8
Necessary,8
Transactions,8
XStream,8
buffer,8
do,8
Clock,8
sync,8
copy,8
.snapshot,8
useful,8
.journal,8
than,7
operations,7
you,7
Kjome,7
client,7
<a,7
closed,7
synchronized,7
thrown,7
was,7
TODO,7
writing,7
requires,7
them,7
until,7
Jacob,7
name,7
Carlos,6
logging,6
Creates,6
comments,6
written,6
state,6
Useful,6
IOException,6
single,6
we,6
result,6
throw,6
being,6
go,6
Query,6
been,6
every,6
records,6
there,6
default,6
Monitor,6
connection,6
Serializer,6
would,6
order,6
same,6
Java,6
nothing,6
before,6
while,6
returned,6
two,5
own,5
halfTheObjects,5
identifier,5
fail,5
after,5
network,5
reading,5
number,5
Configures,5
\example,\,5
required,5
Queries,5
query,5
log,5
exception,5
only,5
because,5
10,5
close,5
Business,5
taken,5
interface,5
returns,5
recovery,5
interesting,5
=,5
Reserved,5
results,5
7,5
newPrevalentSystem,5
newly,5
during,5
able,4
actually,4
create,4
Level,4
applications,4
_writeLock,4
2061,4
always,4
2005,4
Milsons,4
receive,4
subscribers,4
make,4
necessary,4
found,4
caller,4
Stefan,4
acquire,4
1,4
where,4
array,4
implemented,4
