
Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,141,8014,5109,3781,473,1842,51,1063,8449,241,2383
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org,141,8014,5109,3781,473,1842,51,1063,8449,241,2383
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler,141,8014,5109,3781,473,1842,51,1063,8449,241,2383
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\demos,58,2843,2021,1452,161,739,22,83,641,2,7
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\demos\demo1,4,145,84,63,12,44,1,17,97,0,0
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\demos\demo2,28,1295,928,729,50,335,16,32,242,0,0
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\demos\demo2\business,14,410,289,223,29,121,8,0,69,0,0
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\demos\demo2\business\transactions,8,179,118,95,5,61,7,0,62,0,0
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\demos\demo2\gui,8,670,482,398,18,157,7,31,138,0,0
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\demos\scalability,27,1403,1009,660,99,360,5,34,302,2,7
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\demos\scalability\jdbc,6,270,188,147,11,78,1,4,17,2,7
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\demos\scalability\prevayler,11,342,233,182,21,106,2,3,35,0,0
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\foundation,50,2513,1480,1140,134,537,11,496,3605,148,1229
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\foundation\gzip,4,169,125,93,13,44,0,0,0,0,0
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\foundation\monitor,5,190,76,57,5,48,0,66,375,20,221
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\foundation\network,24,1133,648,492,52,239,9,246,1505,113,837
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\foundation\serialization,4,214,105,83,7,37,0,72,653,0,0
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\implementation,28,2011,1311,985,135,469,16,231,1782,69,860
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\implementation\clock,3,102,55,44,3,32,0,15,186,9,120
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\implementation\journal,3,372,260,174,38,69,1,43,301,10,123
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\implementation\publishing,9,364,214,169,12,105,4,45,544,27,329
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\implementation\publishing\censorship,3,91,53,42,2,25,1,13,193,10,123
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\implementation\replication,3,340,238,189,17,85,4,17,218,9,120
C:\Users\ckaestne\Documents\uni\workspaces\coloredWorkspace\prevayler\org\prevayler\implementation\snapshot,2,129,94,73,9,31,0,4,43,4,43
